state_name,total_cases,total_deaths,total_recovered,active_cases,total_cases_per_capita,total_deaths_per_capita,total_tests,total_tests_per_capita,population,pvi,governor,senate,house,house_comp,state,rural,exurban,suburban,urban,lean_538,density_538
Rhode Island,"65,818","1,448","4,104","60,266","62,130","1,367","1,651,621","1,559,073","1,059,361",D+10,Democratic,Democratic,Democratic,2D,yes,8,31,22,39,D+26,11.72
South Carolina,"234,652","4,579","120,653","109,420","45,575",889,"2,899,181","563,088","5,148,714",R+8,Republican,Republican,Republican,"5R, 2D",yes,40,41,18,0,R+17,10.11
South Dakota,"86,500","1,110","68,576","16,814","97,778","1,255","341,195","385,680","884,659",R+14,Republican,Republican,Republican,1R,yes,65,19,16,0,R+31,8.73
Tennessee,"408,730","5,009","362,818","40,903","59,851",733,"4,698,459","687,998","6,829,174",R+14,Republican,Republican,Republican,"7R, 2D",yes,41,31,28,0,R+28,10.2
Texas,"1,366,709","23,335","1,078,854","264,520","47,135",805,"12,821,168","442,172","28,995,881",R+8,Republican,Republican,Republican,"23R, 13D",yes,21,17,34,27,R+17,11.17
USA Total,"15,369,046","290,443","8,982,246","6,096,357","46,432",877,"209,496,456","632,915",,,,,,,no,25,23,27,25,,
Utah,"217,638",949,"154,983","61,706","67,885",296,"2,198,007","685,601","3,205,958",R+20,Republican,Republican,Republican,"3R, 1D",yes,21,19,41,19,R+31,10.96
Vermont,"5,080",81,"2,996","2,003","8,141",130,"235,165","376,874","623,989",D+15,Republican,Democratic,Democratic,1D,yes,28,22,34,17,D+24,8.84
Virginia,"258,870","4,208","25,401","229,261","30,329",493,"4,074,402","477,347","8,535,519",D+1,Democratic,Democratic,Democratic,"7D, 4R",yes,79,21,0,0,EVEN,10.91
Washington,"191,036","2,985","72,416","115,635","25,087",392,"3,164,714","415,595","7,614,893",D+7,Democratic,Democratic,Democratic,"7D, 3R",yes,20,22,39,19,D+12,11.12
West Virginia,"56,128",841,"35,596","19,691","31,319",469,"1,226,697","684,485","1,792,147",R+19,Republican,Both,Republican,3R,yes,41,27,19,13,R+30,9.11
Wisconsin,"414,332","3,738","352,510","58,084","71,161",642,"2,616,805","449,435","5,822,434",EVEN,Democratic,Both,Republican,"5R, 3D",yes,64,36,0,0,R+1,10.19
Wyoming,"36,985",280,"30,988","5,717","63,904",484,"425,916","735,913","578,759",R+25,Republican,Republican,Republican,1R,yes,66,34,0,0,R+47,8.26
Puerto Rico,"101,428","1,203","47,883","52,342","29,947",355,"464,073","137,018","3,386,941",,,,,,no,,,,,,
Guam,"7,019",113,"6,248",658,,,"91,693",,,,,,,,no,,,,,,
United States Virgin Islands,"1,680",23,"1,523",134,,,"29,924",,,,,,,,no,,,,,,
Northern Mariana Islands,111,2,N/A,N/A,,,"24,641",,,,,,,,no,,,,,,
American Samoa,3,,2,1,,,,,,,,,,,no,,,,,,
